SMILES,TARGET_Oxidation Potential (vs Li/Li+)
CC[C@@H]1[C@@H]2C=C(C)C[C@@H]21,0.156369152
C#C[C@@H](C)CCC1CC1,1.560529191
CC#CCCC1(C)CC1,1.171467953
C[C@@]12[C@H]3[C@H]4C[C@]1(C)[C@H]4[C@H]32,0.219740113
CC[C@]12CCC[C@@]1(C)C2,0.370584419
CCCC1(C)CCC1,1.372813931
C#C[C@H]1CC[C@H]2CC[C@H]21,1.539989
C[C@H]1CC2=CCCC[C@H]21,0.637078316
CC[C@@]12CCCC[C@@H]1C2,0.682028408
C[C@@]12CC[C@@H]3C[C@@H]3[C@@H]1C2,0.331209152
C#C[C@@H]1[C@H]2C[C@@H]3[C@H](C2)[C@H]13,1.188961122
CC(C)C1=CCC[C@H]1C,0.630431341
CCC[C@H]1C[C@H]2CC[C@H]21,0.869599782
C#C[C@H](C)[C@@H]1[C@@H]2CC[C@@H]21,0.871712392
CCC#CC1=CCCC1,0.30962579
CC#CC1=C[C@H]2C[C@H]2C1,0.193060051
CC#C[C@H]1C[C@H]1C(C)C,0.703983728
C[C@@H]1CC[C@@H]2[C@H]1C[C@@H]2C,1.16176021
C#CCC1=CCCCC1,0.870491429
C1=C[C@H]2C[C@H]3C[C@]2(C1)C3,1.036581112
C#C[C@@H]1C[C@H](CC)[C@@H]1C,1.532752603
C#C[C@H]1C=CC[C@H]2C[C@H]21,1.328863871
C#CC1=C[C@H]2[C@H]3C[C@@H]1[C@@H]23,0.326379921
C[C@@H]1[C@H](C)[C@@H]2CC=C[C@H]12,0.771066073
CC[C@@]1(C)[C@@H]2C=C[C@H]1C2,0.574757279
CC[C@@H](C)C#CC1CC1,0.79735011
C[C@@H]1C[C@@H]2C[C@H]1C[C@@H]2C,2.542230764
CC[C@H]1[C@@H](C)C12CCC2,0.621764051
C1#CCC/C=C\C=C/C1,0.865681818
C#C[C@]12C[C@@H](C)C[C@H]1C2,0.676690611
C1=C2C[C@H]3[C@@H](CCC1)[C@@H]23,0.34883904
CC1(C)[C@H]2[C@H]3C[C@@H]1[C@H]32,0.698272301
CCCC#CC(C)(C)C,1.256809162
C#CC1(C#C)C[C@H]2C[C@H]21,1.266476405
CC[C@H]1CC=C[C@@H](C)C1,1.018291643
CC[C@@]1(C)C[C@H]2[C@@H](C)[C@H]21,0.657728585
CC1=C[C@@H](C)CCC1,0.674383195
CCC1=CC[C@H]2C[C@@]12C,0.24964028
CC[C@]12C=C(C)[C@H](C1)C2,0.243482565
C#CC[C@@H](C#C)C1CC1,1.827584623
C#C[C@H](C)CCC(C)C,1.933275986
C[C@H]1[C@H]2C=CC[C@@H](C)[C@@H]12,0.389075582
CCC1=CCCC=CC1,0.517019615
CCCC1(CC)CC1,1.074911575
C#CC#C[C@H](C)C1CC1,1.373648591
CC1=CC[C@]2(C1)C[C@@H]2C,0.635668506
C[C@@H]1C=C[C@H](C)[C@H](C)C1,1.009821554
C#CC1(CC2CC2)CC1,1.092706892
CC[C@@H]1C=C2CC[C@@H]2C1,0.495570308
CC1=C[C@H]2C[C@H]3[C@@H]1[C@@]23C,0.113322383
CC[C@H]1C[C@H]1C,1.078996794
CC[C@@H]1C=CC[C@H](C)C1,0.977049299
C1=C[C@@]23CC[C@]2(C1)C3,0.130077015
CC#C[C@@H](C)CC1CC1,1.285301401
CC#CC1CC1,0.859505973
CC(C)CC1=CCCC1,0.631159986
C#C[C@@H]1C[C@H](C)C12CC2,1.258493495
CC1=C2CC[C@H]3[C@@H](C1)[C@@H]23,0.134416609
CC[C@H]1CC[C@H]2[C@@H](C)[C@@H]12,0.921515095
CCC1CC2(CCC2)C1,1.189543965
C/C1=C/C/C=C\CCC1,0.577310331
C#C[C@@H]1CCC[C@@H]1C,1.786160868
C#C[C@@H]1C[C@@H]2[C@H]1C[C@@H]2C,0.665210135
CCC1CC1,1.573317367
C#C[C@]12C[C@H]1CC21CC1,0.466467747
C#C[C@@H]1C=CC=CCC1,0.61333793
C#C[C@H]1CC12CCC2,0.839604455
C#C[C@@H]1[C@@H]2C[C@H](CC)[C@H]12,1.05216685
CC#C[C@H](CC)CCC,1.396011789
C#CC#C[C@@H]1CC[C@@H]1C,1.22117142
C[C@H]1[C@H]2[C@@H]3[C@H]4[C@@H]3[C@]1(C)[C@H]42,0.399420622
CC1(C)CCCCCC1,1.761209918
C[C@@H]1C=C(C2CC2)CC1,0.265330726
CC1=C[C@H]2CC[C@H]3[C@@H]1[C@H]32,0.215344836
CC[C@H]1C[C@@H](C)C12CC2,1.023893688
CCC[C@@H](C)CC(C)C,1.959647591
CC[C@@]12CC(C)=C[C@@H]1C2,0.196349942
C#C[C@@H]1[C@@H]2C=CC[C@H]12,0.599979169
CC#CC[C@@H]1[C@H](C)[C@@H]1C,0.934415151
C#CCCC#CC1CC1,0.995043123
CC(C)[C@@]12CCC[C@@H]1C2,0.684653822
CCCC[C@H]1C[C@H]1CC,0.972734199
C[C@@H]1C=CCC(C)(C)C1,1.024841797
CC#CC#C[C@H](C)CC,0.865679024
CC1=CCC[C@@]2(C)C[C@@H]12,0.181690209
CC[C@@]12[C@H]3CC[C@@H]1[C@@H]2C3,0.416838399
CCC(CC)CC(C)C,1.979658879
CC[C@@]12[C@H]3C[C@@H]1[C@@H]2C3,0.333395707
CC[C@]1(C)[C@@H]2CCC[C@@H]21,0.594519269
C#CCCCC1CCC1,1.998530671
C[C@H]1CC2(CCC2)[C@H]1C,0.996109276
C#C[C@H](C)C(CC)CC,1.723931991
CCC[C@@H](C)CC1CC1,1.400116252
C1C[C@@H]2[C@H](C1)C21CCC1,0.670715265
CC(C)C[C@@H]1[C@@H]2CC[C@@H]21,0.706995337
C[C@@]12CC=CCC[C@@H]1C2,0.964708797
CC1=CC[C@@H]2C[C@@H]2[C@@H]1C,0.657002318
C#C[C@@H]1CC[C@@H]1CC,1.394760023
CC#CC#CCC#CC,0.997829747
C[C@H]1CC2=CC[C@@H]3[C@H]2[C@@H]31,0.485140316
C[C@]12C[C@@H]3C=C[C@H]1[C@H]2C3,0.276054353
C[C@H]1[C@H]2C[C@H]2[C@H]2C[C@]21C,0.352079498
CC1=C[C@@H]2C=C[C@H](C1)C2,0.323621829
C1=C[C@H]2CCCC=C2C1,0.609024196
C[C@@H]1[C@H](C)[C@@H]1CC1CC1,0.880425925
CCCCC1CC=CC1,1.08361255
C[C@H]1C[C@H]2C[C@H](C2)[C@H]1C,1.415589663
CCC1=CC[C@@H](C)[C@H]1C,0.655824944
C[C@H]1[C@H]2CC=C[C@@H](C)[C@@H]12,0.880233041
C#C[C@@]12C=C(C)C[C@@H]1C2,0.414792503
C1=C[C@@H]2[C@H]3C[C@@H]2[C@H]3CC1,0.803229017
C1=C[C@@H]2C[C@H]1C[C@@H]1C[C@@H]12,0.920985742
C[C@@H]1C/C=C\CCCC1,0.968114857
CC[C@]1(C)C=CCC1,1.038180458
C[C@]12C[C@H]1[C@H]1CC=C[C@H]12,0.320446004
CCC1CCCCC1,1.918693591
C1=C\CCCCCCC/1,0.999514408
C#C[C@H]1[C@H]2[C@@H](C)C[C@]21C,0.752777241
C[C@]12C[C@H](C1)[C@H]1C[C@H]12,0.77978054
C#CCC[C@@]1(C)C[C@@H]1C,0.868477942
C#CC(C#C)CC#CC,1.648680759
C[C@H]1CC[C@]12C=CCC2,0.739833375
C#C[C@@H]1[C@@H]2C=C[C@H]3[C@@H]2[C@@H]13,0.62403676
C#CC1=CC[C@H]2C[C@@H]12,0.645427057
CCC[C@H]1CCC12CC2,1.07226773
CCCC[C@H]1CC[C@H]1C,1.266265945
C#CC[C@@H]1CC=C[C@@H]1C,1.193245344
CC1=CCC[C@@H]1C,0.715115499
CC[C@@]12C[C@H]3C[C@@H]1[C@]32C,0.028388612
C[C@]12CC[C@H]1[C@H]1C[C@H]12,0.245692798
CC#CC#CCC,1.009862147
C#C[C@H](C)[C@@]1(C)C[C@H]1C,0.857486808
C#CC1=C[C@H]2[C@@H](C)[C@H]2C1,0.341105561
C#CC[C@@H]1C=CCC1,1.207968018
CC#CC[C@H](C)CCC,1.441268905
CC1(C)[C@@H]2CCCC[C@@H]21,0.532696062
CC#C[C@H]1C[C@H]2C[C@]21C,0.540695183
C[C@]12CC=C[C@@]1(C)CC2,0.838200182
C[C@H]1[C@H]2C[C@@H](C)[C@@H]12,0.761520027
C1CCC2(C1)[C@@H]1CC[C@@H]12,0.620276207
CC1=CCC[C@H](C)C1,0.680029713
C[C@@]12CC3=CC[C@@H]1[C@H]32,0.027312159
CC[C@@H]1C[C@@H]2[C@H](C)[C@@H]2C1,0.844727493
C#C[C@H](C)C1CCC1,1.764190236
C#CC1=CCCCCC1,0.708507424
CC1=CC[C@H]2C[C@H]3[C@@H]1[C@@H]23,0.3265638
C[C@]12C=C[C@@H]3[C@H](C1)[C@@H]32,0.441753116
CC[C@@H](C)C1CC1,1.459317839
CCC1(C2CC2)CC1,0.698860576
CCC[C@@H]1C=C[C@H](C)C1,1.011108084
CC1=C(C)[C@H]2C[C@H]2C1,0.069136278
C[C@@]12C=C3CC[C@@H]3[C@@H]1C2,0.271728434
C#C[C@@H]1[C@H](C)C12CCC2,0.728957952
CC(C)[C@H]1C[C@H]2C[C@]21C,0.392192227
C[C@H]1CC=CC12CCC2,0.773413994
C#C[C@@H]1[C@@H]2CC[C@H]3[C@@H]2[C@@H]13,1.116943125
C1=C\CCCCC\C=C/1,0.609973769
C1=C[C@@H]2[C@@H]3C[C@H](C1)[C@H]2C3,0.857539173
C[C@H]1CCCC12CC2,1.007463448
CCC[C@H]1[C@@H](C)C1(C)C,0.576731261
C#C[C@@H]1C=C[C@@H](C)C1,1.369927977
C#CCC[C@H](C)C#C,2.077814671
C#C[C@@H]1CC=CCC1,1.172367025
C#C[C@@H]1C=C(C)[C@@H](C)C1,0.950059263
CC#C[C@]1(C)C=CCC1,1.157052975
C#C[C@@H]1C=C(C)[C@@H]2C[C@H]12,0.602967723
CC1=CC[C@@H](C)CC1,0.68406691
C#CC1=CCC[C@@H]1C#C,0.992154522
C[C@H]1[C@H]2CC3(CC3)[C@]21C,0.237072379
C[C@@H]1/C=C\C=C/C=C\C1,0.31347968
CC[C@H]1C[C@H]2C[C@@]2(C)C1,0.595916933
C1=C2CC[C@@H]3[C@H](C1)[C@H]23,0.527904947
CC1=C[C@H]2C[C@@H]3[C@H]2[C@]13C,0.124744434
C1CC[C@H]2C[C@H]2C1,1.050270354
CC[C@H]1CC[C@@]12C[C@H]2C,0.70597177
CCC[C@]1(C)C[C@H](C)C1,1.297744282
C1=C2[C@H]3CC[C@H]3[C@H]2CC1,0.537095049
C#CC#C[C@@]1(C)C[C@@H]1C,0.632812628
CC#C[C@]12CC[C@H]1[C@H]2C,0.088516866
C[C@H]1CC(C)(C)C12CC2,1.042628278
CC1=CC=CCC[C@@H]1C,0.061864888
C[C@H]1C[C@]1(C)CC1CC1,0.687706285
C[C@H]1CC[C@]2(C)C[C@H]1C2,1.298139669
CC[C@]12C[C@H]1C(C)(C)C2,0.411540607
C#CCC[C@H](C)C1CC1,1.567910274
C[C@H]1[C@H]2C=C3CC[C@H]3[C@@H]12,0.239974254
CC#C[C@@]12[C@H]3C[C@@H]1[C@@H]2C3,0.031396534
C#C[C@@H]1C[C@@H]1CC(C)C,1.024083954
CC[C@]1(C)C=CCCC1,0.993161183
CC[C@@H]1[C@H](C)C=C[C@@H]1C,1.049372488
C[C@H]1CCC12CC=CC2,1.038155542
C[C@H]1C=C[C@]2(C)C[C@H]1C2,0.821799841
C[C@H]1[C@H]2C=CC3(CC3)[C@@H]12,0.19907718
C1=C\CC[C@H]2C[C@H]2CC/1,0.993873117
CC(C)[C@@]12C[C@H]3C[C@@H]1[C@H]32,0.395891625
CCC1=CCC[C@@H](C)C1,0.627358475
C#C[C@H](C)[C@H]1C[C@H]2C[C@H]21,0.898619364
CC#C[C@@H]1C[C@@H]1CCC,0.647640771
C1=C2CC[C@]23CC[C@@H]3C1,0.476651048
C#C[C@@H]1CC=CC[C@@H]1C,1.129727801
C[C@H]1[C@@H]2[C@]3(C)[C@H]1C[C@]23C,0.001082837
CCC#C[C@@]12CC[C@@H]1C2,0.210643186
CC[C@@]1(C)CCC12CC2,1.080067313
CCC1=C[C@H]2C=C[C@@H]1C2,0.287337605
CC1(CCC2CC2)CC1,1.077591275
CC[C@@H]1[C@H](CC)C1(C)C,0.575054504
C[C@H]1CC=C2CCC[C@H]21,0.56150381
CCC1=C[C@H]2C[C@H]2CC1,0.193902129
C#C[C@@H]1C[C@@H]2[C@H](CC)[C@@H]21,0.999964297
C[C@]12CCC=C[C@H](C1)C2,0.784698641
CC1=CC[C@]23C[C@H](C2)[C@@H]13,0.754480219
C#CC1=CC[C@H](C)[C@@H]1C,0.778017265
C#C[C@@H]1[C@H](C)[C@@H]1C#CC,0.707576766
C[C@@H]1C[C@@H]2C[C@@H]3[C@H](C1)[C@H]23,0.723488873
C[C@H]1CC[C@]12[C@@H]1C[C@H]2C1,1.080163844
CC[C@H]1C=C[C@H]2[C@@H](C)[C@H]21,0.373809024
C#C[C@@H]1[C@@H]2C[C@H](C)[C@]12C,0.739819759
CC(C)C[C@@H]1[C@H](C)[C@@H]1C,0.845390833
CCC1(CC)[C@@H]2CC[C@@H]21,0.65145049
C[C@H]1C=C[C@H]2C=C[C@@H]1C2,0.533976488
CC[C@H]1C=C(C)C[C@H]1C,0.584630652
C#CCCC(C#C)C#C,2.152657911
CC[C@H]1[C@H]2C[C@@]2(C)[C@H]1C,0.409075341
CCCC#CCC(C)C,1.344935042
CC1=C2[C@H](CC1)C[C@@H]2C,0.154592976
C#C[C@@]1(C)[C@@H]2C[C@@H]2[C@@H]1C,0.961420095
CC1=C(C)[C@@H](C)[C@@H](C)C1,0.287382224
CC1(CC2CC2)CCC1,1.339883206
C#CC[C@]1(C)C[C@H]2C[C@H]21,0.938828469
CCC[C@@]12C[C@H]3C[C@@H]1[C@H]32,0.390217436
C[C@H]1C[C@@H]2[C@H]3C=C[C@@H]2[C@H]31,0.463413506
C#C[C@H](CCC)C(C)C,1.784778226
C1=C2C[C@@H]3C[C@H](C1)[C@H]23,0.381604152
C#C[C@H]1C[C@H]2CC=C[C@H]21,0.986754807
C[C@H]1C[C@H]2CCCC[C@H]21,1.19769786
CC[C@H]1C[C@H]2C[C@@H](C1)C2,1.456203456
C#CC1(CCCC)CC1,1.072450213
C#C[C@@H]1C[C@]12C[C@H](C)C2,0.751060568
C#C[C@@H]1[C@H](C#C)[C@@H]1CC,1.044123019
C[C@H]1C[C@H]2CC[C@]21C,0.635433715
C[C@H]1C[C@H]1[C@@H]1C=CCC1,1.009491852
C#C[C@]12C[C@H]1C(C)(C)C2,0.537985984
C#CC[C@H]1[C@@H](C)[C@H]2C[C@H]21,0.973590103
C/C1=C/C=CC=CC=C1,0.178868648
C1=C\CCCCCC/1,1.024841659
CC[C@@]12C=CC[C@@H]1C2,0.502948199
C#C[C@H]1[C@H]2C[C@@H]3C[C@H]2[C@@H]31,1.48673578
C[C@H]1C[C@@]2(C)[C@@H](C)C[C@@H]12,0.565555343
CC#C[C@]1(CC)C[C@H]1C,0.43837302
C#CCC[C@H]1C[C@H]2C[C@@H]12,0.960316015
CC1=C(C)CC=CC=C1,0.089497112
C[C@@H]1C(C)(C)[C@@H]2C[C@]12C,0.4071895
CC(C)CCCC1CC1,1.453676601
CC[C@@]1(C)[C@H]2[C@H]3C[C@@H]1[C@H]32,0.645589597
C[C@H]1C[C@H]1CCC1CC1,0.992908704
C[C@@]12C=CC[C@@H](CC1)C2,0.879195964
C#C[C@@H]1CC[C@@]12C[C@@H]2C,0.976468366
C#C[C@@H]1C[C@]1(C)C(C)C,0.721347278
C#CCC1(C2CC2)CC1,0.863218837
C[C@@H]1C=CC2(CCC2)C1,0.79055359
C1C[C@@H]2C[C@@H]3[C@H]1CC[C@H]23,1.192585254
CC[C@]12C[C@H]1C[C@H]2C,0.449250942
CCC1=C[C@@H]2[C@H]3C[C@@H]2[C@@H]13,0.20987023
C#C[C@H](C)C1CCCC1,1.824490746
C1=CC2=CCCC[C@H]2C1,0.080915356
C[C@@]12CC[C@H]3C[C@@H]1[C@H]32,0.691033497
C[C@@H]1C[C@@H]2[C@H](C)[C@]12C,0.350420136
C#CC1=C(C)C[C@@H]2C[C@H]12,0.284506288
C[C@H]1C[C@H]2C=CC[C@@H]1C2,0.881677954
C[C@H]1C[C@H]2CC[C@@H]1C2,1.664973128
CC1=C[C@@H]2C[C@@]1(C)[C@H]2C,0.19903643
CC(C)[C@]12CC[C@@]1(C)C2,0.096815428
C[C@@H]1[C@H]2C=C[C@@H]3[C@H]2C[C@H]13,0.744216406
CC[C@]12[C@@H]3C[C@H]1[C@@]2(C)C3,0.031139599
C#C[C@@H]1C[C@@H]1CCCC,1.035383817
CC[C@H]1C=CC[C@H]2C[C@H]21,0.976016951
C[C@@H]1/C=C\C/C=C\CC1,0.575370531
C[C@H]1C[C@]1(C)C1CCC1,0.606919776
C[C@@]12C3=CC[C@@H]1[C@@H]2CC3,0.449054829
C#CCCCC1(C)CC1,1.220995536
CC#C[C@@]1(C)C[C@H]1C,0.535810725
C#C[C@@H]1[C@@H]2C[C@H]3[C@@H]2[C@@H]13,0.954860935
C#C[C@]1(CCC)C[C@H]1C,0.747526672
C1CC1C[C@@]12CC[C@@H]1C2,0.440987213
CCCC[C@H]1C[C@H]2C[C@@H]12,0.797577908
C#C[C@@]12CC=C[C@@H]1C2,0.698993313
C[C@H]1C=C[C@@H]2[C@H]3C[C@@H]2[C@H]31,0.836400315
CC[C@H]1CC[C@H]1C(C)C,1.264966217
C1=C[C@H]2C[C@H]2C1,0.727990329
C1=C[C@H]2CC[C@@H]3C[C@@]32C1,1.013600603
C#C[C@H](C)CCCC,1.948212055
C[C@@H]1[C@@H]2C=CC[C@H]1C=C2,0.523552421
C[C@@H]1[C@@H]2C=C[C@@H]3C[C@H]1[C@H]23,0.607614132
C#C[C@@]12C[C@]1(C)C[C@@H]2C,0.2010553
C[C@]12C=CCC[C@H](C1)C2,0.722971113
CC1=C[C@@H](C)CCCC1,0.578221233
C[C@H]1C[C@]1(C)C1CC1,0.513958922
C#CCC1=CCC[C@@H]1C,0.843128328
C[C@H]1C[C@@H]2[C@H]3C[C@@H]2[C@@H]1C3,1.518765951
C#C[C@@H]1C=CC[C@@H]1C,1.258043982
C[C@H]1C[C@H]2[C@@H](C3CC3)[C@H]21,0.64137373
C#CCC[C@H](C)C(C)C,2.01399369
C1CC[C@H]2CC[C@@H](C1)C2,1.909058602
C#C[C@@H]1CC(C)(C)[C@H]1C,1.314691654
CCC1=C(C)CCC1,0.337630809
C#C[C@H]1C[C@H]2CC[C@H]21,1.212019847
CC[C@@]1(C)C=CC[C@H]1C,0.989125611
C#CC#CC1=CCCC1,0.624105547
C#CC1=CCCC1,0.855203782
C[C@H]1[C@H]2[C@H]3C=C[C@]1(C)[C@H]32,0.361407461
C1=C2CC[C@H]2[C@H]2CC[C@@H]12,0.519986046
C[C@H]1C[C@H]2CCC=C[C@H]21,0.818689488
CCC#C[C@H]1C[C@H]1C,0.666134014
CC(C)(C)[C@H]1CC1(C)C,0.64220387
CC1(C2CC2)CCCC1,1.31208777
C1=C[C@H]2[C@@H](C1)[C@H]1C[C@@H]21,0.711897766
CC#C[C@]12C[C@@H]3[C@H](C1)[C@@H]32,0.700600483
C#CCCC1(C)CCC1,1.55788015
C[C@@]12C[C@H]3[C@@H]4[C@@H]([C@@H]41)[C@H]32,0.464011105
CC#C[C@H](C)CCCC,1.331275296
CCC1=CCCC[C@H]1C,0.610399061
C#CC[C@H](CC)CCC,1.895174405
C#CC1CC=CC=CC1,0.499937779
C[C@H]1C[C@H]2C[C@H]2C1(C)C,0.915757315
CC[C@@H](C)CC1CCC1,1.570911236
C#C[C@@H]1C[C@]1(C#C)CC,0.860540669
CC1=C[C@H]2C=CC[C@@H]1C2,0.287132263
CC(C)[C@]12CC[C@H]1[C@H]2C,0.363982885
C1=C2CC[C@@H]2CC12CC2,0.07049532
C[C@@H]1C=CCC=C[C@@H]1C,0.996121845
CC1=C2CC=C[C@H]2CC1,0.353252788
CC1=C2[C@H]3C[C@H]3[C@H]2CC1,0.162775142
CC[C@H]1C[C@@]2(C)C[C@@]12C,0.054987729
C#C[C@@H]1C=C[C@@H]2[C@H](C)[C@@H]21,0.602667891
C[C@H]1[C@H]2C[C@H]3C[C@H]3[C@]21C,0.271120326
CC1=CC[C@H]2[C@H]3C[C@@]12C3,0.521993979
C[C@H]1CC2(CC2)C12CC2,0.347532744
C1[C@H]2C[C@H]3[C@@H]1[C@@H]2C31CC1,0.722402983
C[C@H]1[C@H]2CC[C@@H]3[C@H]2[C@@]31C,0.417953922
C[C@@H]1C=C2CC[C@@H]2CC1,0.679031227
CC[C@H]1C[C@H]1C1CCC1,0.887662666
CCC[C@@H]1[C@H](C)C[C@@H]1C,1.173244282
C[C@H]1[C@H]2C[C@@]2(C)[C@H]1C,0.441472553
CC1(C)C=CCCC1,1.045034939
C#CC[C@@]12C[C@@H]1C[C@@H]2C,0.684685811
C1=C[C@H]2[C@H]3C[C@]2(CC1)C3,0.991263028
C[C@H]1C[C@H]1C1CC=CC1,1.05736253
CCC#CC(C)(C)CC,1.288541049
C#CC[C@H]1C[C@H]1C#C,1.327869926
C1=CC[C@H]2C[C@@H](CC1)C2,0.563535282
CC[C@@]12CC=C[C@@H]1CC2,0.895982352
C[C@H]1C[C@@]12C[C@H]1CC[C@H]12,0.648227413
C1=C[C@H]2CCC[C@H]2C1,1.053532903
C#C[C@@H]1C[C@@H]1[C@H](C)CC,1.017227902
C#CC[C@@H](C#CC)CC,1.592182985
C1C[C@H]2C[C@H]3[C@@H](C1)[C@@H]23,0.678100647
CC(C)(C)[C@H]1C[C@H]2C[C@H]21,0.704369683
CC[C@H]1[C@H]2[C@H]3C[C@]1(C)[C@H]32,0.568427813
C#C[C@H]1[C@@H](C)CC12CC2,1.261732551
C[C@]12CC[C@H]1[C@H]1C[C@H]1C2,0.917946178
C[C@H]1[C@H]2CC=CC[C@]21C,0.89864875
CC(C)C#CC1CC1,0.827586669
C[C@H]1[C@@H]2[C@H]1C(C)(C)[C@H]2C,0.575511764
CC1=CCC=C[C@H]2C[C@@H]12,0.256928987
C1=C[C@@]23CCC[C@]2(C1)C3,0.315462963
C#C[C@@]12C=CC[C@@H]1[C@@H]2C,0.402161416
C#CC(C#C)CC,2.133822173
C#C[C@@]1(C)C[C@@H]1C#CC,0.534895008
CC#CC[C@H](C)CC,1.442458267
CC1=C[C@H](C)[C@H]2C[C@@H]1C2,0.511577492
C1=C[C@H]2[C@H]3CC[C@@H](C1)[C@@H]23,0.463771241
C#C[C@@H]1CC1(C)C,0.806401919
CCCC[C@H]1CC1(C)C,0.681205351
CC#CC1=CCCC1,0.390203439
C#CC(C#C)CC1CC1,1.666718027
CC1=CCCC12CC2,0.187066888
C#CC1=C2CC[C@H]2CC1,0.314510179
C#C[C@@H](C)CC1CCC1,1.783241133
CC(C)[C@H]1[C@H]2C[C@@H](C)[C@H]21,0.655683908
CC[C@H]1C[C@]12C=CCC2,0.139256619
CCC1=CCC[C@H]1C,0.6684027
CC(C)CC1CC1,1.46089456
C[C@H]1[C@H]2C=C[C@H]3C[C@H]3[C@@H]12,0.467351875
CC1(C)CC2(CCC2)C1,1.148354019
C1#CCC/C=C\C/C=C\1,0.764237301
C1C[C@H]2[C@@H]3C[C@@H]4[C@H]2[C@H]1[C@@H]43,0.896179636
CC1(C)C[C@H]2C[C@H]21,0.836848312
CCC[C@@]12CCC[C@@H]1C2,0.678880864
C#CC[C@@H]1C[C@@H]1C(C)C,1.220375415
C#C[C@H]1CC[C@H](CC)C1,1.76214438
CC[C@H]1C[C@]2(C[C@H]2C)C1,0.711025021
CC[C@]12CCC[C@H](C1)C2,1.254072111
CC1(C)CC[C@H]2C[C@H]2C1,0.987261253
CCC1=CC[C@@H](C)C1,0.669614645
CC1=CC[C@H]2C=CC[C@@H]12,0.728139644
CC1=C(C)[C@@H]2C[C@@H]2[C@@H]1C,0.034575328
C[C@@]12C=CC[C@@H]1CCC2,1.008557253
C#C[C@@H]1CC1(CC)CC,0.726569087
CC[C@H]1[C@H]2C[C@@H]3[C@H]2[C@@]31C,0.374361028
CCC[C@@]12[C@H]3C[C@@H]1[C@@H]2C3,0.291256774
C#C[C@@]1(CC)[C@H](C)[C@@H]1C,0.637198011
CC1=C2CC[C@H]2CCC1,0.334760601
C[C@@H]1[C@@H]2CCC=C2[C@@H]1C,0.340289758
CC1=CC[C@@H]2CC[C@H]1C2,0.564070165
CC1(C)C[C@@H]2C[C@@]21C,0.44285681
C#CC1([C@@H]2C[C@@H]2C)CC1,0.679403115
C[C@@]12C=CC[C@H]3C[C@@H]1[C@H]32,0.352877156
CC[C@@]12CC=C[C@@H]1C2,0.504474218
C[C@H]1C[C@@H]2C[C@H]1[C@H]1C[C@@H]21,0.944115238
C#CCCCCC(C)C,2.070740381
CC[C@]12C=C[C@@H]3[C@H]1C[C@@H]32,0.484302372
C[C@@]12CC=CC=C[C@@H]1C2,0.469556133
CC1=C[C@H]2C[C@H]2C12CC2,0.073085374
C[C@H]1CC=C[C@H]2C[C@H]2C1,0.922174887
CCC[C@H]1C=CC[C@H]1C,1.006863485
